Index,model,dataset,image,image_path,img_url,true_artist,true_genre,true_style,true_school,true_technique,true_technique_macro,true_historical_period,true_wol_linear_vs_painterly,true_wol_plane_vs_recession,true_wol_closed_vs_open_form,true_wol_multiplicity_vs_unity,true_wol_absolute_vs_relative_clarity,pred_artist_1,pred_artist_2,pred_artist_3,pred_genre,pred_style,pred_technique,pred_school,pred_historical_period,pred_wol_linear_vs_painterly,pred_wol_plane_vs_recession,pred_wol_closed_vs_open_form,pred_wol_multiplicity_vs_unity,pred_wol_absolute_vs_relative_clarity,pred_short_description
540,gemini,waga,543,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3256_the-annunciation-1680.jpg!Blog.jpg,,,,,,,,3.6,3.8,4.4,3.4,3.8,Bartolomé Esteban Murillo,Guido Reni,Francisco de Zurbarán,religious,Baroque,oil,spanish,1651-1700,4,4,4,4,4,"An Annunciation scene depicts the Virgin Mary kneeling, hands clasped, looking down humbly. Opposite her, the Archangel Gabriel kneels, gesturing upwards. Above them, a dove representing the Holy Spirit descends amidst a host of cherubs on clouds. Mary wears a red dress and blue mantle, while Gabriel is in white. A book rests on a table beside Mary, and a white cloth is on the floor. The background is dark, illuminated by divine light."
541,gemini,waga,544,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3259_the-assumption-of-the-virgin-1670.jpg!Blog.jpg,,,,,,,,3.4,2.6,3.2,3.2,3.0,Bartolomé Esteban Murillo,Guido Reni,Francisco de Zurbarán,religious,Baroque,oil,spanish,1651-1700,5,5,5,5,4,"A celestial painting depicts the Virgin Mary, robed in white and blue, ascending on a cloud. She gazes upwards with outstretched arms, surrounded by numerous cherubic putti who support her and look on. A warm, golden light emanates from behind her, creating a dramatic contrast with the darker, swirling clouds below and around the figures."
542,gemini,waga,545,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3271_st-sergius-the-buildert-1925.jpg!Blog.jpg,,,,,,,,2.6,3.0,4.6,1.4,3.6,Nicholas Roerich,Ivan Bilibin,Mikhail Nesterov,religious,Symbolism / Intimism,oil,russian,1851-1900,1,2,1,4,1,"A stylized winter landscape depicts a monk chopping wood in the foreground, with a brown bear seated nearby. A small wooden chapel with a cross stands on a snowy slope behind them. Tall, dark trees with sparse branches frame the scene, leading to snow-covered mountains and vibrant blue pine forests in the background under a grey sky. The artwork features bold outlines and simplified forms."
543,gemini,waga,546,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3285_woman-with-mandolin-1922.jpg!Blog.jpg,,,,,,,,3.8,1.8,2.8,3.0,2.0,Henri Matisse,André Derain,Raoul Dufy,portrait,Expressionism,oil,french,1851-1900,1,2,1,4,2,"A portrait of a woman with dark hair, wearing a yellow blouse with black patterns and a white skirt, standing indoors. She holds a mandolin-like instrument in her right hand. Behind her, a window overlooks a calm blue sea, a sandy beach with small figures, and two prominent palm trees. A pink building is visible along the beach. The style features bold outlines and flat areas of color."
544,gemini,waga,547,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/328_nanny-s-boy-1799.jpg!Blog.jpg,,,,,,,,3.0,3.0,2.2,1.4,1.4,Francisco Goya,William Hogarth,Honoré Daumier,genre,Romanticism,drawing,spanish,1751-1800,2,2,2,4,2,"A black and white print depicts a grotesque male figure with a crown-like headpiece and a beard, leaning over a table. He appears to be putting something into his mouth or picking it up. He wears a tunic and has a large, possibly deformed, object strapped to his back. The background is a stark, undifferentiated dark void, emphasizing the figure. The style is expressive and satirical, with the title ""El de la rollona?"" below."
545,gemini,waga,548,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/329_neither-more-nor-less-1799.jpg!Blog.jpg,,,,,,,,2.4,1.6,2.4,2.8,3.2,Francisco Goya,Honoré Daumier,Jacques Callot,genre,Romanticism,drawing,spanish,1751-1800,1,2,1,4,1,"A black and white print depicts a large donkey seated, posing for a portrait. A small monkey, perched on a block, diligently paints the donkey on an easel. The background is dark and indistinct. The scene is satirical, with the donkey appearing self-important and the monkey focused on its task. A caption ""Ni mas ni menos"" is at the bottom."
546,gemini,waga,549,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/32_josiah-wedgwood-1795.jpg!Blog.jpg,,,,,,,,2.4,1.2,2.2,2.4,1.4,Joseph Spilsbury,George Stubbs,Joshua Reynolds,portrait,Neoclassicism / Classicism,drawing,english,1751-1800,1,2,1,4,1,"An 18th-century black and white engraving depicts a formal portrait of Josiah Wedgwood. He is shown from the chest up, facing slightly right, looking directly at the viewer. He wears a powdered wig, a high-collared shirt, and a buttoned jacket. The portrait is set within an oval frame, which is then placed within a rectangular border with fine cross-hatching. Text below identifies the subject and engraver."
547,gemini,waga,550,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3304_vase-of-peonies-and-snowballs-1878.jpg!Blog.jpg,,,,,,,,3.6,2.8,2.6,2.4,1.8,Henri Fantin-Latour,Édouard Manet,Gustave Courbet,still-life,Realism,oil,french,1851-1900,4,4,2,4,4,"A still life painting depicts a bouquet of light pink peonies, white hydrangeas, and smaller pink blossoms with green leaves, arranged in a dark, slender glass vase. The vase rests on a dark wooden surface, with a few fallen flowers and leaves to its right. The background is a textured, warm golden-brown, creating a soft contrast with the detailed floral arrangement."
548,gemini,waga,551,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/332_st-paul-1426.jpg!Blog.jpg,,,,,,,,4.0,2.2,1.4,2.0,1.2,Giotto di Bondone,Duccio di Buoninsegna,Cimabue,religious,Renaissance,tempera,italian,1301-1350,1,1,1,4,1,"A vertical panel painting depicts a bearded male saint, likely an apostle, holding a dark book in his left hand and a long, dark staff or sword in his right. He wears a pinkish-red robe with an orange sleeve visible, and a golden halo. The figure is set against a gold background within a pointed arch, with a distressed white border."
549,gemini,waga,552,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/334_now-they-are-sitting-well-1799.jpg!Blog.jpg,,,,,,,,2.8,2.4,3.6,3.4,3.6,Francisco Goya,Honoré Daumier,Jacques Callot,genre,Romanticism,drawing,spanish,1751-1800,2,3,2,2,2,"A black and white aquatint and etching depicts five figures in a dimly lit, ambiguous interior. A central figure, possibly a young woman, stands draped in a patterned cloak, looking directly forward. To her left, a man laughs, pointing. To her right, two figures, one seated and draped, the other peering from behind, observe her. Two ladder-back chairs lean against the back wall. The print has a satirical or critical tone."
550,gemini,waga,553,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3371_cupid-ordering-mercury-to-announce-his-power-to-the-universe-1647.jpg!Blog.jpg,,,,,,,,3.2,3.8,3.6,2.4,4.6,Anton Raphael Mengs,Angelica Kauffman,Pompeo Batoni,mythological,Neoclassicism / Classicism,oil,italian,1751-1800,2,4,4,4,2,"An oil painting depicts a mythological scene in the sky. On the left, a nude male figure, likely Mercury, with winged helmet and sandals, flies holding a caduceus. On the right, three female figures, two partially nude and one draped, are seated on dark clouds. One holds a bow, suggesting Diana. The figures interact, set against a light blue, cloudy sky."
551,gemini,waga,554,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/338_adoration-of-the-child-with-saints-1465.jpg!Blog.jpg,,,,,,,,3.0,2.8,3.4,1.2,4.2,Sandro Botticelli,Filippino Lippi,Domenico Ghirlandaio,religious,Renaissance,oil,italian,1451-1500,1,2,1,4,1,"A Nativity scene depicts the Virgin Mary and Saint Joseph kneeling in adoration of the infant Jesus, who lies on the ground. To the left, an angel in armor holds a flag with a red cross. To the right, a robed figure holds an open book. In the background, shepherds and angels are visible near a rustic stable, all set within a detailed landscape."
552,gemini,waga,555,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3393_still-life-1665.jpg!Blog.jpg,,,,,,,,3.8,2.8,3.4,4.6,3.4,Willem Kalf,Jan Davidsz. de Heem,Pieter Claesz.,still-life,Baroque,oil,dutch,1651-1700,4,4,2,4,4,"A dark, dramatic still life features an ornate silver ewer and a golden goblet on a table. A tilted porcelain bowl, patterned in blue and white, holds lemons, oranges, and other items. Strong chiaroscuro illuminates the metallic surfaces and fruit, creating rich textures and reflections against a deep, shadowy background."
553,gemini,waga,556,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3395_still-life-with-a-late-ming-ginger-jar-1669.jpg!Blog.jpg,,,,,,,,4.2,2.6,2.2,3.6,3.8,Willem Kalf,Jan Davidsz. de Heem,Abraham van Beyeren,still-life,Baroque,oil,dutch,1651-1700,4,5,2,4,4,"A dark still life features luxurious objects arranged on a table. A tall gilded goblet and a blue and white porcelain jar stand prominently. To their left, a smaller glass and a silver tray hold a peeled lemon, an orange, and other items. A rich, patterned textile drapes over the table, all set against a deep, dark background, emphasizing light on reflective surfaces."
554,gemini,waga,557,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3398_still-life-with-an-aquamanile-fruit-and-a-nautilus-cup-1660.jpg!Blog.jpg,,,,,,,,3.4,3.6,2.6,3.2,3.2,Willem Kalf,Jan Davidsz. de Heem,Abraham van Beyeren,still-life,Baroque,oil,dutch,1651-1700,3,4,2,4,4,"A still life featuring a blue and white porcelain ewer with ornate gold mounts, a nautilus shell cup, and a silver bowl filled with fruit or sweets. These luxurious objects are arranged on a silver tray and a rich, patterned rug, all set against a dark, indistinct background. Strong chiaroscuro illuminates the textures and reflections of the various materials."
555,gemini,waga,558,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3418_the-negro-page-1652.jpg!Blog.jpg,,,,,,,,3.4,2.8,4.4,3.0,3.6,Aelbert Cuyp,Philips Wouwerman,Jan Both,genre,Realism,oil,dutch,1651-1700,2,5,2,3,4,"A wide landscape painting depicts a lake or river with a town and mountains in the distance under a cloudy sky. In the foreground, a dirt path features a young man holding two horses, a white and a dark one. Two other men stand to the right, while a dog sits nearby and cattle graze on the left."
556,gemini,waga,559,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3446_trans-himalayas-view-from-saga-dzong-1928.jpg,,,,,,,,2.0,3.0,4.2,2.2,4.4,Nicholas Roerich,Ferdinand Hodler,Rockwell Kent,landscape,Symbolism / Intimism,oil,russian,1851-1900,2,2,1,4,4,"A landscape painting depicting a range of stylized, snow-capped mountains under a pale blue sky. In the foreground, a broad, flat plain in muted pinkish-brown tones stretches towards a narrow, lighter horizontal band, possibly a body of water or distant horizon. The forms are simplified with distinct outlines and flat color areas, creating a serene and monumental atmosphere."
557,gemini,waga,560,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3455_fantasia-1940.jpg,,,,,,,,3.4,3.6,5.0,4.2,3.8,Arshile Gorky,Roberto Matta,Joan Miró,other,Surrealism / Metaphysical,oil,american,1851-1900,2,2,4,4,5,"An abstract painting features swirling, biomorphic forms and expressive lines in a vibrant yet muted palette of blues, greens, yellows, and reds. A prominent profile of a face is visible on the left, surrounded by other fragmented, organic shapes that suggest figures or natural elements. The composition is dynamic and fluid, with a strong emphasis on line and texture, creating a dreamlike, surreal atmosphere."
558,gemini,waga,561,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/345_john-wilkes-1763.jpg!Blog.jpg,,,,,,,,2.6,2.0,1.8,1.6,1.4,William Hogarth,James Gillray,Thomas Rowlandson,genre,Realism,drawing,english,1751-1800,1,2,1,4,1,"A monochrome engraving depicts a seated man in 18th-century attire, with a caricatured, somewhat grotesque expression. He holds a staff topped with a 'LIBERTY' cap. To his left, a table holds papers, one clearly labeled 'NORTH BRITON NUMBER 45,' and an inkwell. The figure wears a powdered wig, a long coat, breeches, and buckled shoes. The background is a simple, textured wall, and the floor is indicated by horizontal lines. The artwork is highly linear with detailed cross-hatching."
559,gemini,waga,562,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3464_arbutus-tree-1922.jpg,,,,,,,,3.8,4.8,4.0,4.4,4.2,Mary E. Gary,Emily Carr,Tom Thomson,landscape,Expressionism,oil,american,1851-1900,5,4,4,4,4,"An expressive landscape painting featuring a large, prominent tree with reddish-orange branches and green foliage dominating the foreground. Visible brushstrokes and vibrant colors depict a forest scene under a bright blue sky, with other trees and a path receding into the background. The overall mood is energetic and atmospheric."
560,gemini,waga,563,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3469_strong-wind-1856.jpg!Blog.jpg,,,,,,,,4.6,3.6,4.4,4.0,4.2,Ivan Aivazovsky,J.M.W. Turner,Caspar David Friedrich,landscape,Romanticism,oil,russian,1801-1850,5,5,5,5,5,"A dramatic, monochromatic seascape depicts a ship battling a ferocious storm. Towering waves crash around the vessel, which is dwarfed by the turbulent, dark clouds overhead. A small, indistinct object or figure is visible in the foreground, emphasizing the overwhelming power of nature. The scene conveys a sense of peril and the sublime."
561,gemini,waga,564,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/347_saint-john-the-baptist-1637.jpg!Blog.jpg,,,,,,,,3.4,2.8,2.2,2.6,2.6,Caravaggio,Jusepe de Ribera,Guido Reni,religious,Baroque,oil,italian,1601-1650,4,4,4,4,4,"A dramatic oil painting depicts a youthful, muscular male figure, likely Saint John the Baptist, seated in a wilderness setting. He is partially draped, holding a staff with a cross, and points upwards with his right arm. Strong chiaroscuro illuminates his body against a dark, cloudy sky and a shadowy landscape with small figures in the distance. His expression is intense and contemplative."
562,gemini,waga,565,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/348_marriage-1735.jpg!Blog.jpg,,,,,,,,4.0,2.8,3.8,3.2,3.6,William Hogarth,Thomas Rowlandson,Jean-Baptiste Greuze,genre,Realism,oil,english,1701-1750,2,4,2,2,2,"A crowded interior scene depicts a group of 18th-century figures. In the foreground, a clergyman reads from a book to a couple, while a child kneels. A maid attends to the woman. In the background, more figures are visible, along with architectural elements like a window and a gallery. Two pugs sit on a stool in the lower right. The scene is rich in detail and narrative, characteristic of social commentary."
563,gemini,waga,566,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/34_werl-altarpiece-1438.jpg!Blog.jpg,,,,,,,,2.2,2.4,2.0,2.8,4.4,Robert Campin,Jan van Eyck,Rogier van der Weyden,religious,Renaissance,oil,flemish,1401-1450,1,4,1,2,1,"The artwork displays two panels of an altarpiece. The left panel features a bearded man in a red robe holding a dove, standing beside a kneeling monk in a brown habit, within an arched interior. The right panel depicts a woman in a green dress seated by a fireplace, reading a book, in a meticulously detailed domestic interior with a window looking out onto a landscape."
564,gemini,waga,567,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3500_loreley-1942.jpg!Blog.jpg,,,,,,,,4.8,3.6,5.0,3.6,4.2,James Ensor,Oskar Kokoschka,Max Beckmann,mythological,Expressionism,oil,belgian,1851-1900,5,5,5,5,5,"A chaotic and dramatic scene unfolds in a turbulent green-blue sea under a stormy sky. In the foreground, a wide-eyed figure in red and yellow holds green foliage, while another figure in blue is partially submerged. A trident emerges from the water, and a small boat and a distant red lighthouse are visible. Drowning figures are scattered amidst the waves. The brushwork is loose and expressive, conveying intense emotion."
565,gemini,waga,568,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3501_doctor-s-visit-1665.jpg!Blog.jpg,,,,,,,,3.0,1.8,4.2,3.0,4.0,Jan Steen,Gabriel Metsu,Gerard ter Borch,genre,Realism,oil,dutch,1651-1700,3,4,4,3,4,"An interior scene depicts several figures in a domestic setting. A man in a black hat and white collar holds the arm of a woman seated on the right, who looks away. Another woman plays a stringed instrument at a table. A man in a red cloak enters through a doorway on the left, while a laughing figure holds up a fish on the right. Objects like a small box and a bowl are on the floor."
566,gemini,waga,569,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3504_white-stone-sign-of-cintamani-or-horse-of-happiness-1933.jpg!Blog.jpg,,,,,,,,2.0,3.0,3.8,2.8,3.8,Nicholas Roerich,Mikhail Nesterov,M.K. Čiurlionis,landscape,Symbolism / Intimism,oil,russian,1851-1900,1,3,2,4,2,"A stylized landscape depicts rugged, angular mountains under a pale, cloudy sky. In the foreground, a prominent light-colored rock face features an ancient-looking petroglyph of a winged horse, surrounded by symbols like a sun, moon, and circles. Darker, earthy-toned rocks and ground fill the lower part of the scene, creating a sense of a mystical, rocky terrain."
567,gemini,waga,570,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3528_merry-company-on-a-terrace-1675.jpg!Blog.jpg,,,,,,,,3.0,3.8,3.6,5.0,4.6,Jan Steen,Adriaen van Ostade,David Teniers the Younger,genre,Baroque,oil,dutch,1651-1700,4,4,4,4,4,"A lively outdoor scene depicts a merry company gathered under a pergola. Numerous figures, dressed in 17th-century attire, are engaged in various activities: laughing, drinking, playing a lute, and interacting. A woman in a blue dress sits prominently in the foreground, while a child with two dogs and a man on a ladder are also visible. A table laden with food and a classical building in the background complete the festive setting."
568,gemini,waga,571,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3538_portrait-of-geertruy-gael-second-wife-of-gerrit-gerritsz-schouten-1665.jpg!Blog.jpg,,,,,,,,4.2,3.6,2.8,2.6,1.8,Rembrandt van Rijn,Ferdinand Bol,Nicolaes Maes,portrait,Baroque,oil,dutch,1601-1650,4,4,4,5,4,"A seated woman, likely middle-aged, is depicted in a three-quarter length portrait against a dark background. She wears a rich green patterned robe, a yellow sash, and a pink undergarment, adorned with a pearl necklace and earrings. Her left hand rests on a red patterned table with toilet articles. Strong chiaroscuro illuminates her face and the luxurious fabrics, creating a dignified and somewhat somber mood."
569,gemini,waga,572,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3542_prince-s-day-1660.jpg!Blog.jpg,,,,,,,,4.0,3.0,4.2,4.0,4.8,Jan Steen,Adriaen van Ostade,David Teniers the Younger,genre,Realism,oil,dutch,1651-1700,4,5,4,3,4,"A bustling interior scene depicts a lively gathering of numerous figures in a rustic tavern or home. Men, women, and children are engaged in various activities: drinking, eating, playing cards, and conversing boisterously. The room is dimly lit, with strong contrasts of light and shadow highlighting the animated faces and colorful attire. Objects like hats, a pan, and a large jug are scattered on the floor, adding to the chaotic atmosphere."
570,gemini,waga,573,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3547_revelry-at-an-inn-1674.jpg!Blog.jpg,,,,,,,,3.2,2.8,3.8,4.2,4.4,Jan Steen,Adriaen Brouwer,David Teniers the Younger,genre,Realism,oil,dutch,1651-1700,2,5,4,3,4,"A bustling interior scene depicts a lively gathering of numerous figures in a large, arched room. People are dancing, drinking, playing music, and socializing. Some figures are seated at tables, others are on the floor, and a group observes from a balcony. A dog sleeps in the foreground, and various objects like barrels and jugs are scattered around. The setting appears to be a tavern or a festive home."
571,gemini,waga,574,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3554_creation-of-the-world-vi-1906.jpg!Blog.jpg,,,,,,,,3.6,2.2,4.4,4.4,5.0,Charles Burchfield,Arthur Dove,Oscar Bluemner,landscape,Symbolism / Intimism,oil,american,1851-1900,5,4,4,4,5,"An ethereal, semi-abstract painting depicts a dreamlike cityscape or landscape on water. Tall, light-colored structures, possibly buildings or natural formations, rise from a body of water rendered in various shades of blue and purple. Visible brushstrokes create a hazy, atmospheric effect, with reflections shimmering on the water's surface. A small landmass is visible in the lower left. The overall palette is cool and muted, evoking a serene or melancholic mood."
572,gemini,waga,575,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3567_tric-trac-players-1667.jpg!Blog.jpg,,,,,,,,4.2,1.6,3.0,4.0,4.0,Jan Steen,Gabriel Metsu,Gerard ter Borch,genre,Realism,oil,dutch,1651-1700,2,4,2,4,4,"An interior genre scene depicts several figures gathered around a carved wooden table. A woman in a grey dress is seated, while a man leans over the table, pointing with a stick. Other figures observe or interact in the background, including a woman holding a child and another by a doorway. A small dog is in the foreground, and the room features a patterned wall and rich furnishings."
573,gemini,waga,576,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/357_philippe-de-valois-appointed-regent-1460.jpg!Blog.jpg,,,,,,,,4.2,1.2,1.0,2.0,4.8,Limbourg Brothers,Jean Fouquet,Master of the Boucicaut Hours,historical,Medieval,tempera,french,1401-1450,1,2,1,2,1,"The image depicts a formal gathering within a gilded, arched architectural setting. A crowned woman in a blue and white ermine-trimmed gown stands on the right, gesturing. Opposite her, a man in a blue pleated robe with a red sash stands, looking towards her. They are surrounded by a crowd of attendants in various colored robes and hats. The background features a deep blue tapestry adorned with gold fleur-de-lis. The floor is tiled in purple and brown."
574,gemini,waga,577,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3586_christmas-tree-bargain-1918.jpg!Blog.jpg,,,,,,,,4.6,2.0,5.0,4.2,4.0,Konstantin Yuon,Boris Kustodiev,Valentin Serov,genre,Impressionism,oil,russian,1851-1900,5,5,5,4,5,"A bustling winter scene depicts a snowy market or festival. Numerous figures in traditional attire gather amidst snow-laden fir trees and buildings with onion domes. A man carries a Christmas tree, while a horse-drawn sleigh moves through the crowd. The atmosphere is bright and festive, with soft light illuminating the snow and distant architecture."
575,gemini,waga,578,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/358_satyrs-1892.jpg!Blog.jpg,,,,,,,,4.0,2.0,2.2,4.0,2.2,Gustave Moreau,Edward Burne-Jones,Odilon Redon,religious,Symbolism / Intimism,watercolour,french,1851-1900,4,3,4,4,4,"A tall, slender female figure with long red hair and a halo stands centrally, wearing a blue and red draped gown. She holds an ornate, multi-pronged musical instrument. To her left, vertical tree trunks form a dense background, while to her right, a more open landscape reveals a kneeling figure. The artwork features visible brushstrokes and a mystical, ethereal atmosphere."
576,gemini,waga,579,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3591_crossing-a-creek-1669.jpg!Blog.jpg,,,,,,,,3.0,2.8,4.4,3.8,5.0,Jean-Honoré Fragonard,Thomas Gainsborough,François Boucher,genre,Romanticism,oil,french,1751-1800,5,5,5,4,5,"A pastoral landscape depicts a horse-drawn cart carrying two women and goods, moving through a shallow stream or muddy path. Another woman walks barefoot, balancing a basket on her head. Lush trees frame the scene, with a double rainbow arching across a cloudy sky in the background, suggesting recent rain. The light is soft and atmospheric."
577,gemini,waga,580,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3605_bentheim-castle-1653.jpg!Blog.jpg,,,,,,,,2.8,3.0,4.2,4.6,4.2,Jacob van Ruisdael,Meindert Hobbema,Jan van Goyen,landscape,Baroque,oil,dutch,1651-1700,4,5,4,5,4,"A dramatic landscape painting depicts a large, fortified castle perched atop a steep, tree-covered hill under a dynamic, cloudy sky. The foreground features dense foliage and rocks, leading to a valley with a fallen log. A distant windmill is visible on another hill, and small houses are nestled among the trees, creating a sense of a vast, natural, and historical scene."
578,gemini,waga,581,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3610_landscape-with-a-wheatfield-1660.jpg!Blog.jpg,,,,,,,,3.6,3.2,3.6,4.2,4.2,John Constable,Jean-Baptiste-Camille Corot,Théodore Rousseau,landscape,Naturalism / Luminism / Tonalism,oil,english,1801-1850,4,5,4,4,4,"A naturalistic landscape painting features a vast, dramatic sky filled with voluminous clouds. Below, a rolling rural scene unfolds with sunlit fields, dark hedges, and distant trees. A winding path leads through the foreground and middle ground, where small figures and haystacks are faintly visible. The overall impression is one of atmospheric depth and a serene, yet dynamic, natural environment."
579,gemini,waga,582,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/361_coronation-of-the-virgin-1447.jpg!Blog.jpg,,,,,,,,3.2,2.6,2.2,3.0,4.8,Andrea Mantegna,Giovanni Bellini,Piero della Francesca,religious,Renaissance,oil,italian,1451-1500,1,4,2,4,1,"A crowded religious scene unfolds under three arched openings. A central enthroned figure, possibly the Virgin Mary, is surrounded by numerous saints, clergy, and other figures, some kneeling in the foreground. The composition features figures arranged on multiple levels, creating depth within an architectural setting. The artwork displays detailed drapery, distinct facial features, and a clear, even light illuminating the entire scene."
580,gemini,waga,583,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3625_the-road-1958.jpg!Blog.jpg,,,,,,,,3.0,2.2,2.4,4.2,4.4,Maurice de Vlaminck,Ernst Ludwig Kirchner,Emil Nolde,landscape,Expressionism,watercolour,french,1851-1900,2,4,2,4,4,"A landscape painting depicts a dirt road receding into the distance under a dramatic, cloudy sky. On either side, bare-branched trees line the road, with houses visible behind them. The house on the right features an orange-tiled roof and a small figure near its entrance. The style uses strong dark outlines and expressive, somewhat muted colors."
581,gemini,waga,584,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3632_the-grand-dock-at-le-havre-1872.jpg!Blog.jpg,,,,,,,,4.6,3.6,4.2,5.0,5.0,Claude Monet,Eugène Boudin,Camille Pissarro,genre,Impressionism,oil,french,1851-1900,5,5,5,4,5,"An Impressionist oil painting depicts a bustling port scene under a bright, cloudy sky. Numerous sailing ships and steamships are docked in the blue water, with smoke rising from some. On the quay, piles of barrels and crates are visible, alongside small figures engaged in various activities near buildings, one labeled ""HAVRE CALM"". The brushwork is loose and vibrant."
582,gemini,waga,585,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/363_st-filippo-neri-in-ecstasy-1614.jpg!Blog.jpg,,,,,,,,4.0,3.8,3.8,2.8,2.2,Guido Reni,Annibale Carracci,Guercino,religious,Baroque,oil,italian,1601-1650,4,4,4,5,4,"A kneeling, bearded male saint in ornate red vestments looks upwards with outstretched arms towards an apparition of the Madonna holding the Christ Child, surrounded by cherubs. The scene is set against a dark, reddish-brown background, with dramatic lighting illuminating the figures. White lilies rest in the foreground, symbolizing purity or a specific saint."
583,gemini,waga,586,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3641_view-of-the-coast-near-st-petersburg-1835.jpg!Blog.jpg,,,,,,,,3.8,3.0,3.0,2.6,4.2,Caspar David Friedrich,Arnold Böcklin,Vilhelm Hammershøi,landscape,Romanticism,oil,german,1801-1850,4,5,4,5,4,"A painting depicts a solitary figure seated in a small, weathered boat resting on a sandy shore. The figure, seen from behind, gazes out towards a calm sea under a vast, cloudy sky. Muted tones of brown, gray, and soft yellow dominate the scene, creating a contemplative and melancholic atmosphere. A few birds are visible in the sky and near the boat."
584,gemini,waga,587,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3646_view-of-tiflis-1869.jpg!Blog.jpg,,,,,,,,3.8,3.6,4.0,4.0,4.2,Ivan Aivazovsky,Lev Lagorio,Alexey Bogolyubov,landscape,Academic / Traditional,oil,russian,1851-1900,2,5,2,4,4,"A panoramic landscape painting depicts a bustling city nestled in a valley, flanked by mountains under a clear sky. Two tall, slender trees dominate the mid-ground. In the foreground, groups of figures engage in various activities: some picnic on a red rug, others converse, and a procession of people on horseback and with carts moves along a path. Atmospheric perspective renders distant elements in soft blues and grays."
585,gemini,waga,588,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/364_second-stage-of-cruelty-1751.jpg!Blog.jpg,,,,,,,,2.8,2.6,2.8,4.2,5.0,William Hogarth,Thomas Rowlandson,James Gillray,genre,Realism,drawing,english,1751-1800,1,5,4,4,4,"A chaotic 18th-century street scene, titled 'Second Stage of Cruelty,' depicts various acts of animal abuse and human suffering. In the foreground, a man beats a fallen horse pulling a carriage with wigged figures. Other figures engage in cruelty towards a dog, a sheep, and other animals. Buildings line the busy street, receding into the background under a cloudy sky, illustrating a moralizing narrative."
586,gemini,waga,589,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/365_st-francis-in-prayer-with-two-angels-1631.jpg!Blog.jpg,,,,,,,,3.6,3.8,4.2,2.8,4.2,Jusepe de Ribera,Francisco de Zurbarán,Guido Reni,religious,Baroque,oil,italian,1601-1650,4,4,4,4,4,"A Franciscan friar, likely St. Francis, kneels in a rocky grotto, looking upwards with clasped hands in prayer or ecstasy. Two cherubs float above him amidst clouds. To his left, a skull, a small wooden cross, and a book rest on a stone ledge. The scene is dramatically lit, with strong contrasts between light and shadow, emphasizing the emotional intensity of the figures."
